date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:54	117/117	---MCZ	200	added ('OK')	text/plain	date:Thu,%2029%20Aug%202024%2006:58:54%20GMT	https://captreonuisam.com/robots.txt		(from )
13:58:57	510639/510639	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Aug%202024%2006:58:55%20GMT	https://captreonuisam.com/	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/index.html	(from )
13:58:58	182230/182230	---MCZ	200	added ('OK')	text/css	etag:W/%2265c08160-2c7d6%22	https://captreonuisam.com/wp-content/themes/phlox-pro/css/base.css?ver=5.15.5	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/themes/phlox-pro/css/base0bb6.css	(from https://captreonuisam.com/)
13:58:58	885977/885977	---MCZ	200	added ('OK')	text/css	etag:W/%2265c08160-d84d9%22	https://captreonuisam.com/wp-content/themes/phlox-pro/css/main.css?ver=5.15.5	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/themes/phlox-pro/css/main0bb6.css	(from https://captreonuisam.com/)
13:58:58	94152/94152	---MCZ	200	added ('OK')	text/css	etag:W/%2265c08160-16fc8%22	https://captreonuisam.com/wp-content/themes/phlox-pro/css/shop.css?ver=2.1.0	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/themes/phlox-pro/css/shop3c94.css	(from https://captreonuisam.com/)
13:58:59	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%2265c0815f-b4e%22	https://captreonuisam.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.6	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/plugins/contact-form-7/includes/css/styles6281.css	(from https://captreonuisam.com/)
13:58:59	6597/6597	---MCZ	200	added ('OK')	text/css	etag:W/%2265d541b6-19c5%22	https://captreonuisam.com/wp-content/plugins/button-contact-vr/css/style.css?ver=6.4.2	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/plugins/button-contact-vr/css/style1e39.css	(from https://captreonuisam.com/)
13:58:59	54207/54207	---MCZ	200	added ('OK')	text/css	etag:W/%2265c08160-d3bf%22	https://captreonuisam.com/wp-content/themes/phlox-pro/css/auxin-icon.css?ver=5.15.5	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/themes/phlox-pro/css/auxin-icon0bb6.css	(from https://captreonuisam.com/)
13:58:59	19571/19571	---MCZ	200	added ('OK')	text/css	etag:W/%2265c0815e-4c73%22	https://captreonuisam.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.25.0	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7bb8.css	(from https://captreonuisam.com/)
13:59:00	117332/117332	---MCZ	200	added ('OK')	text/css	etag:W/%2265c0815f-1ca54%22	https://captreonuisam.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.18.3	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/plugins/elementor/assets/css/frontend-lite.minf3b2.css	(from https://captreonuisam.com/)
13:59:00	12876/12876	---MCZ	200	added ('OK')	text/css	etag:W/%2265c0815e-324c%22	https://captreonuisam.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://captreonuisam.com/)
13:59:00	1314/1314	---MCZ	200	added ('OK')	text/css	etag:W/%2265fd4720-522%22	https://captreonuisam.com/wp-content/uploads/elementor/css/post-1286.css?ver=1711097632	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/uploads/elementor/css/post-12867e12.css	(from https://captreonuisam.com/)
13:59:00	1264/1264	---MCZ	200	added ('OK')	text/css	etag:W/%2265c08160-4f0%22	https://captreonuisam.com/wp-content/themes/phlox-pro/css/other/elementor.css?ver=5.15.5	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/themes/phlox-pro/css/other/elementor0bb6.css	(from https://captreonuisam.com/)
13:59:00	109/109	---M--	200	added ('OK')	text/css	etag:%22669e2f4b-6d%22	https://captreonuisam.com/wp-content/plugins/auxin-elements/admin/assets/css/elementor-widgets.css?ver=2.16.0	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/plugins/auxin-elements/admin/assets/css/elementor-widgetsc7d6.css	(from https://captreonuisam.com/)
13:59:01	118428/118428	---MC-	200	added ('OK')	application/rss+xml	etag:%22475e2cf6fdb838ed3fdc6472826026f9%22	https://captreonuisam.com/feed/	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/feed/index.html	(from https://captreonuisam.com/)
13:59:01	11256/11256	---MCZ	200	added ('OK')	text/css	etag:W/%2265c0815d-2bf8%22	https://captreonuisam.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://captreonuisam.com/)
13:59:01	4186/4186	---MCZ	200	added ('OK')	text/css	etag:W/%2265c0815d-105a%22	https://captreonuisam.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.4.2	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-includes/js/mediaelement/wp-mediaelement.min1e39.css	(from https://captreonuisam.com/)
13:59:01	11053/11053	---MCZ	200	added ('OK')	text/css	etag:W/%2265c0815e-2b2d%22	https://captreonuisam.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.18.3	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.minf3b2.css	(from https://captreonuisam.com/)
13:59:01	6929/6929	---MC-	200	added ('OK')	application/rss+xml	etag:%22475e2cf6fdb838ed3fdc6472826026f9%22	https://captreonuisam.com/comments/feed/	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/comments/feed/index.html	(from https://captreonuisam.com/)
13:59:01	200175/200175	---MCZ	200	added ('OK')	text/css	etag:W/%2265d5613f-30def%22	https://captreonuisam.com/wp-content/plugins/ultimate-post/assets/css/style.min.css?ver=623	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/plugins/ultimate-post/assets/css/style.min9b94.css	(from https://captreonuisam.com/)
13:59:02	90860/90860	---MCZ	200	added ('OK')	text/css	etag:W/%2265fe3f60-162ec%22	https://captreonuisam.com/wp-content/uploads/elementor/css/post-1284.css?ver=1711161184	C:/Users/admin/Desktop/examples/captreo/captreonuisam.com/wp-content/uploads/elementor/css/post-1284191b.css	(from https://captreonuisam.com/)
